ticker,name,mcap
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,297233984
AACBR,Artius II Acquisition Inc. - Rights,0
AACBU,Artius II Acquisition Inc. - Units,266855008
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",26457056
AACI,Armada Acquisition Corp. II - Class A Ordinary Shares,396673504
AACIU,Armada Acquisition Corp. II - Units,0
AACIW,Armada Acquisition Corp. II - Warrant,0
AADR,AdvisorShares Dorsey Wright ADR ETF,0
AAL,"American Airlines Group, Inc. - Common Stock",8187841536
AALG,Leverage Shares 2X Long AAL Daily ETF,0
AAME,Atlantic American Corporation - Common Stock,45689728
AAOI,"Applied Optoelectronics, Inc. - Common Stock",1568520832
AAON,"AAON, Inc. - Common Stock",6386424832
AAPB,GraniteShares 2x Long AAPL Daily ETF,0
AAPD,Direxion Daily AAPL Bear 1X Shares,0
AAPG,Ascentage Pharma Group International - American Depository Shares,3751720192
AAPL,Apple Inc. - Common Stock,3155934576640
AAPU,Direxion Daily AAPL Bull 2X Shares,0
AARD,"Aardvark Therapeutics, Inc. - Common Stock",255270128
AAVM,Alpha Architect Global Factor Equity ETF,0
AAXJ,iShares MSCI All Country Asia ex Japan ETF,0
ABAT,American Battery Technology Company - Common Stock,218356400
ABCL,AbCellera Biologics Inc. - Common Shares,1344674944
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,0
ABEO,Abeona Therapeutics Inc. - Common Stock,342238336
ABI,VictoryShares Pioneer Asset-Based Income ETF,0
ABIG,Argent Large Cap ETF,0
ABL,"Abacus Global Management, Inc. - Class A Common Stock",494721728
ABLLL,"Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028",0
ABLLW,"Abacus Global Management, Inc. - Warrant",0
ABLV,Able View Global Inc. - Class B Ordinary Shares,52847196
ABLVW,Able View Global Inc. - Warrant,0
ABNB,"Airbnb, Inc. - Class A Common Stock",85990121472
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",92980168
ABP,"Abpro Holdings, Inc - Common Stock",13038876
ABPWW,"Abpro Holdings, Inc - Warrant",0
ABSI,Absci Corporation - Common Stock,392243936
ABTS,Abits Group Inc - Ordinary Shares,10950047
ABUS,Arbutus Biopharma Corporation - Common Stock,595648960
ABVC,"ABVC BioPharma, Inc. - Common Stock",58246888
ABVE,Above Food Ingredients Inc. - Common Stock,156477968
ABVEW,Above Food Ingredients Inc. - Warrant,0
ABVX,Abivax SA - American Depositary Shares,634718976
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,3786900224
ACB,Aurora Cannabis Inc. - Common Shares,256464144
ACDC,ProFrac Holding Corp. - Class A Common Stock,1282224896
ACET,"Adicet Bio, Inc. - Common Stock",63793916
ACGL,Arch Capital Group Ltd. - Common Stock,33087119360
